,overview_matchesplayed,overview_matcheswon,overview_matcheslost,overview_matchesabandoned,overview_timeplayed,overview_kills,overview_deaths,overview_attackerroundswon,overview_attackerteamkillsinobj,overview_attackerenemykillsinobj,overview_attackerteamkillsoutobj,overview_attackerenemykillsoutobj,overview_defenderroundswon,overview_defenderteamkillsinobj,overview_defenderenemykillsinobj,overview_defenderteamkillsoutobj,overview_defenderenemykillsoutobj,overview_headshots,overview_headshotsmissed,overview_headshotpercentage,overview_wallbangs,overview_damagedealt,overview_assists,overview_teamkills,overview_playstyleattackerbreacher,overview_playstyleattackerentryfragger,overview_playstyleattackerintelprovider,overview_playstyleattackerroamclearer,overview_playstyleattackersupporter,overview_playstyleattackerutilityclearer,overview_playstyledefenderdebuffer,overview_playstyledefenderentrydenier,overview_playstyledefenderintelprovider,overview_playstyledefendersupporter,overview_playstyledefendertrapper,overview_playstyledefenderutilitydenier,overview_kdratio,overview_killspermatch,overview_killspermin,overview_winpercentage,overview_timealive,is_cheater
827,1612,899,696,0,0,8075,7896,2536,0,0,0,0,3015,0,0,0,0,0,0,0.0,0,0,0,0,0,2,2,0,0,7,0,0,1,0,0,1,1.02,5.01,8075.0,55.77,0,1
828,72,50,22,0,0,321,293,134,0,0,0,0,153,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,4.46,321.0,69.44,0,1
829,1165,664,496,0,0,6472,4447,1815,0,0,0,0,2236,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.46,5.56,6472.0,57.0,0,1
830,150,113,26,0,0,1014,514,238,0,0,0,0,279,0,0,0,0,0,0,0.0,0,0,0,0,19,132,32,19,127,217,99,202,66,78,151,205,1.97,6.76,1014.0,75.33,0,1
831,223,130,93,0,0,960,843,289,0,0,0,0,315,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.14,4.3,960.0,58.3,0,1
832,40,31,9,0,0,344,156,67,0,0,0,0,80,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.21,8.6,344.0,77.5,0,1
833,19,17,0,2,15512,80,23,33,0,0,0,0,24,0,0,0,0,0,0,0.0,0,0,0,0,11,26,8,11,15,12,17,3,14,11,7,18,3.48,4.21,0.31,89.47,674,1
834,59,25,4,30,41154,254,53,45,0,0,0,0,52,0,0,0,0,0,0,0.0,0,0,0,0,0,35,36,0,27,20,0,60,8,21,11,51,4.79,4.31,0.37,42.37,776,1
835,168,125,25,0,197059,1104,476,264,0,0,0,0,273,0,0,0,0,0,0,0.0,0,0,0,0,52,190,131,52,82,106,83,137,91,163,114,198,2.32,6.57,0.34,74.4,413,1
836,116,86,17,0,0,664,386,210,0,0,0,0,266,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.72,5.72,664.0,74.14,0,1
